module id,category,module gds name,origin x [um],origin y [um],count,wchannel [nm],num fingers,lchannel [nm],lcontact [nm],loverlap [nm],gate asymmetry [nm],w_nmos [nm],w_pmos [nm],module description
'1045',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,2250,0,1,4000.0,None,120.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1046',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,2300,0,1,4000.0,None,100.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1047',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,2350,0,1,4000.0,None,100.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1048',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,2400,0,1,4000.0,None,80.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1049',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,2450,0,1,4000.0,None,80.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1050',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,2500,0,1,4000.0,None,70.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1051',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,2550,0,1,4000.0,None,70.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1052',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,2600,0,1,4000.0,None,60.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1053',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,2650,0,1,4000.0,None,60.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1054',FET,mod_dummy_fet_tlm_nmos_lc_0.12_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,2700,0,1,4000.0,None,400.0,120.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1055',FET,mod_dummy_fet_tlm_pmos_lc_0.12_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,2750,0,1,4000.0,None,400.0,120.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
